Name,Latitud,Longitud,Tipos
Bricks GastroPub,40.4398835,-3.7002443,"['bar', 'point_of_interest', 'establishment']"
Autemax,40.4398835,-3.7002443,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Gastrobar La Tata,40.4398835,-3.7002443,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Taberna Rios Rosas,40.44192890000001,-3.703289000000001,"['bar', 'point_of_interest', 'establishment']"
RAFAEL FERNANDEZ ROLLON S.L.,40.4416401,-3.705246499999999,"['bar', 'point_of_interest', 'establishment']"
Agr A A Teletrofeo,40.44139759999999,-3.705670700000001,"['bar', 'point_of_interest', 'establishment']"
Gran Sol,40.4419309,-3.7029939,"['bar', 'point_of_interest', 'establishment']"
Lampaza S C,40.44192789999999,-3.7029414,"['bar', 'point_of_interest', 'establishment']"
Söttgodis RR,40.44192799999999,-3.702941,"['bar', 'point_of_interest', 'establishment']"
DARIKU,40.4408931,-3.7073483,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
El Refugio,40.440736,-3.707756,"['cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']"
Lima Limón,40.44037209999999,-3.7083132,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Agr A A Teletrofeo,40.44139759999999,-3.705670700000001,"['bar', 'point_of_interest', 'establishment']"
La Hemeroteca,40.4396714,-3.7108006,"['bar', 'point_of_interest', 'establishment']"
Bar las Pedroñeras,40.4401372,-3.7087775,"['bar', 'point_of_interest', 'establishment']"
Lima Limón,40.44037209999999,-3.7083132,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Ricorda,40.44152529999999,-3.7124588,"['night_club', 'bar', 'point_of_interest', 'establishment']"
Cervecería 100 Montaditos,40.4420227,-3.7130877,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Scrum Rugby Bar,40.4397596,-3.712196899999999,"['bar', 'point_of_interest', 'establishment']"
Blue Moon Taphouse - Vallehermoso,40.4418503,-3.7133819,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Hostelería Hermanos De Cáceres S L,40.4420227,-3.7130877,"['bar', 'point_of_interest', 'establishment']"
Scrum pub bar de copas cerveceria,40.4397401,-3.712121099999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
El Muelle de Sfco. 28,40.4411363,-3.7143994,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Chamberí Taberna,40.4410943,-3.7144752,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Pecaditos San Francisco de Sales,40.440826,-3.7148605,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Chamberí Taberna,40.4410943,-3.7144752,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
TheStillWork,40.4414534,-3.714779999999999,"['bar', 'point_of_interest', 'establishment']"
El Muelle de Sfco. 28,40.4411363,-3.7143994,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Ferros Café San Francisco de Sales,40.44010999999999,-3.716683999999999,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Isaac Peral 52,40.4406913,-3.7177895,"['bar', 'cafe', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Tapas y Copas El 52,40.44067899999999,-3.7176092,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Cafetería Sicilia,40.43999489999999,-3.7174819,"['bar', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']"
Ferros Café San Francisco de Sales,40.44010999999999,-3.716683999999999,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Cien por Cien Madrid,40.4378861,-3.700824999999999,"['bar', 'point_of_interest', 'establishment']"
Taberna Restaurante Cruz de Mayo,40.4394015,-3.700402800000001,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
La Traviesa De Chamberi,40.4395542,-3.700512999999999,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Lembranzas,40.438636,-3.6997098,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
Restaurante Casa Patillas,40.4387187,-3.7001687,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
barcelona city,40.4387208,-3.700575499999999,"['bar', 'point_of_interest', 'establishment']"
Elektra Madrid - Restaurante,40.43924700000001,-3.700402399999999,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Classic Motorbar,40.43927900000001,-3.700399499999999,"['bar', 'point_of_interest', 'establishment']"
MotorB,40.4392331,-3.7002439,"['bar', 'point_of_interest', 'establishment']"
Bar Dugu,40.43772939999999,-3.7009918,"['bar', 'point_of_interest', 'establishment']"
Asccuas,40.4397627,-3.7006739,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Ladymadrid bar,40.437586,-3.700984499999999,"['bar', 'point_of_interest', 'establishment']"
@ladymadrid.es1,40.437586,-3.700984499999999,"['bar', 'point_of_interest', 'establishment']"
Lunaticos,40.437586,-3.700984499999999,"['bar', 'point_of_interest', 'establishment']"
Bar Restaurante El Camba,40.43750000000001,-3.701000200000001,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bar Los Hermanos,40.4397409,-3.700143,"['bar', 'point_of_interest', 'establishment']"
Bricks GastroPub,40.4398835,-3.7002443,"['bar', 'point_of_interest', 'establishment']"
Autemax,40.4398835,-3.7002443,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Gastrobar La Tata,40.4398835,-3.7002443,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Claxon Bar,40.4386962,-3.6995306,"['bar', 'point_of_interest', 'establishment']"
Cervecería Sant Yago,40.4397253,-3.6998773,"['bar', 'point_of_interest', 'establishment']"
Gata,40.4397253,-3.6998773,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Juice Bar,40.4377246,-3.7044622,"['bar', 'point_of_interest', 'establishment']"
Nevada,40.4385971,-3.7081559,"['bar', 'point_of_interest', 'establishment']"
Vinos y Pintxos,40.4390247,-3.7072212,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Marisquería El 79,40.4385183,-3.7084347,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Kenny Klose,40.4389116,-3.7070556,"['beauty_salon', 'bar', 'point_of_interest', 'establishment']"
El Recreo - Tapas Bar,40.4390435,-3.707004999999999,"['bar', 'point_of_interest', 'establishment']"
Cervecería El Pasaje,40.43902659999999,-3.7068789,"['bar', 'point_of_interest', 'establishment']"
Rock bar OASIS beach,40.43904339999999,-3.707414799999999,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bar Roan,40.4392647,-3.706613,"['bar', 'point_of_interest', 'establishment']"
SIDRERÍA,40.4383432,-3.7079958,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bar Luján,40.43922999999999,-3.708108299999999,"['bar', 'point_of_interest', 'establishment']"
Sidrería del Norte,40.43826300000001,-3.708184500000001,"['bar', 'point_of_interest', 'establishment']"
Tapa's Bar,40.4394189,-3.7080808,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
La Esquina del 98,40.43943599999999,-3.708066,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
baúl BAR,40.4394019,-3.7081076,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bar Cerveceria Los Gallego,40.438329,-3.708448899999999,"['bar', 'point_of_interest', 'establishment']"
Bar Fran,40.4389885,-3.7085409,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Jayma,40.4387012,-3.7088358,"['bar', 'point_of_interest', 'establishment']"
La Hemeroteca,40.4396714,-3.7108006,"['bar', 'point_of_interest', 'establishment']"
Restaurante Cervecería La Rasilla,40.4390698,-3.7108733,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Destellos,40.43774459999999,-3.709909399999999,"['bar', 'point_of_interest', 'establishment']"
Nevada,40.4385971,-3.7081559,"['bar', 'point_of_interest', 'establishment']"
KOMKI Smoked BBQ,40.439244,-3.7115427,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Marisquería El 79,40.4385183,-3.7084347,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bar Cea 27,40.43874479999999,-3.7105809,"['bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Jayma,40.4387012,-3.7088358,"['bar', 'point_of_interest', 'establishment']"
Restaurante La Rasilla,40.4391515,-3.710710099999999,"['restaurant', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
Bar Fran,40.4389885,-3.7085409,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
la mañica,40.4375922,-3.7099034,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Islas Filipinas café bar,40.4393325,-3.7109741,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Kooby Grilled Brochettes,40.4377593,-3.7101606,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Cafe Tosty snack,40.4377593,-3.7101606,"['cafe', 'bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Bar Cerveceria Los Gallego,40.438329,-3.708448899999999,"['bar', 'point_of_interest', 'establishment']"
Sidrería del Norte,40.43826300000001,-3.708184500000001,"['bar', 'point_of_interest', 'establishment']"
Bar Luján,40.43922999999999,-3.708108299999999,"['bar', 'point_of_interest', 'establishment']"
Tapa Tece,40.439244,-3.7115427,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
